,angel,convertible_note,debt_financing,equity_crowdfunding,grant,non_equity_assistance,post_ipo_debt,post_ipo_equity,private_equity,product_crowdfunding,secondary_market,seed,undisclosed,venture
498,,,,,,,,,,,,750000,,
499,,,,,,,,,,,,,,
500,,,,,,,,,,,,,,1700000
501,,,,,,,,,,,,,,
502,,,,,,,,,,,,349999,,
503,,,,,,,,,,,,,,1900000
504,,,,,,,,,,,,,,20000000
505,,,,,,,,,,,,,,
506,,,,,,,,,,,,,,746185
507,,,,,,,,,,,,,,2208150
508,,,,,,,,,,,,,,6500000
509,,,,,,,,,,,,,,5000000
510,,,,,,,,,,,,,,
511,,,,,,,,,,,,,,4000000
512,,,,,,,,,,,,,,
513,,,,,,,,,,,,,,35000000
514,,,,,,,,,,,,,,10000000
515,,,,,,,,,,,,,,20000000
516,,,,,,,,,,,,1500000,,
517,,,,,,,,,,,,,,
518,500000,,,,,,,,,,,,,
519,,,,,,,,,,,,,,732000
520,,,,,,,,,,,,,,4051500
521,,,,,,,,,,,,,,100000000
522,,,,,,,,,,,,,,16000000
523,,,,,,,,,,,,,,32000000
524,,,3400000,,,,,,,,,,,
525,,,,,,,,,,,,,,12000000
526,,,,,,,,,,,,,,520000
527,,,,,,,,,,,,,,10000000
528,,,,,,,,,,,,,,17500000
529,,,,,,,,,,,,,,450000
530,,,,,,,,,,,,50000,,
531,,,,,,,,,,,,,,511601
532,,,,,,,,,,,,,,1500000
533,,,,,,,,,,,,,,
534,,,,,,,,,50000000,,,,,
535,,,,,,,,,,,,,,1000000
536,500000,,,,,,,,,,,,,
537,,,,,,,,,,,,,,1000000
538,,,,,,,,,,,,,,1394250
539,,,,,,,,,,,,800000,,
540,,,,,,,,,4200000,,,,,
541,,,,,350000,,,,,,,,,
542,,,,,,,,,,,,,,6673012
543,,,,,,,,,,,,,,
544,,,,,,,,,,,,40000,,
545,,,,,,,,,,,,2000000,,
546,,,,,,,,,,,,,,13000000
547,,,,,,,,,,,,,,
548,,,,,,,,,,,,,,
549,,,,,,,,,,,,,,13780000
550,,,,,,,,,,,,,,15152514
551,,,,,,,,,,,,1670000,,
552,,,,,,,,,,,,,,2000000
553,,,,,,,,,,,,,,3000000
554,,,,,,,,,,,,,,10000000
555,,,,,,,,,,,,,,272000
556,,,,,,,,,,,,,,25458897
557,,,,,,,,,,,,,,25500000
558,,,,,,,,,,,,,,8000000
559,,,3567194,,,,,,,,,,,
560,,,,,,,,,,,,,,17000000
561,,,,,,,,,,,,,,5000000
562,,,,,,,,,,,,,,12000000
563,,,,,,,,,,,,,,10000000
564,,,,,,,,,,,,,,9000000
565,,,,,,,,,,,,,,26000000
566,,,,,,,,,,,,,,1693925
567,,,,,,,,,,,,,,1700000
568,163934,,,,,,,,,,,,,
569,,,,,,,,,100000000,,,,,
570,,,,,,,,,,,,,,
571,,,,,,,,,,,,,,13660000
572,,,,,,,,,,,,,,
573,,,250000,,,,,,,,,,,
574,,,140000,,,,,,,,,,,
575,,,,,,,,,,,,25000,,
576,,,,,,,,,,,,,,959979
577,,,,,,,,,,,,,,
578,,,,,,,,,,,,,,1000000
579,,,,1000,,,,,,,,,,
580,,,,,,,,,,,,228188,,
581,,,,,,,,,,,,,,5733600
582,,,,,,,,,,,,513200,,
583,,,,,,,,,,,,,,81000
584,,,,,,,,,,,,620000,,
585,,,,,,,,,,,,50000,,
586,,,,,,,,,,,,380000,,
587,,,,,,,,,,,,,,750000
588,,,,,,,,,,,,,,11200000
589,,,,,,,,,,,,,,10070000
590,,,,,,,,,,,,,,13000000
591,,,,,,,,,,,,,,3794570
592,,,,,,,,,,,,0,,
593,,,,,,,,,,,,,,
594,,,,,,,,,,,,,,1000000
595,,,1000000,,,,,,,,,,,
596,,,,,,,,,,,,,,
597,,,,,,,,,,,,400000,,
598,,,,,,,,,,,,,,12000000
599,,,,,,,,,,,,,,5000000
600,,,,,,,,,,,,,,
601,,,,,,,,,,,,,,
602,,,,,,,,,,,,,,2258720
603,,,,,,,,,,,,500000,,
604,,,,,,,,,,,,,,
605,,,,,,,,,,,,,,
606,,,,,,,,,,,,450000,,
607,,,,,,,,,,,,360540,,
608,,,,,,,,,,,,125301,,
609,,,,,,,,,,,,,,15000000
610,,,,,,,,,,,,,,17956999
611,,,5000000,,,,,,,,,,,
612,,,,,,,,,,,,,,10500000
613,,,,,,,,,,,,,,1200000
614,,,,,,,,,,,,,,
615,,,,450000,,,,,,,,,,
616,,,,,,,,,,,,,,
617,,,,,,,,,,,,,,
618,,,,,,,,,,,,20900,,
619,,,,,,,,,,,,,,
620,,,,1160000,,,,,,,,,,
621,,,,,,,,,,,,,,6999995
622,,,,,,,,,,,,500000,,
623,,,,,,,,,3378975,,,,,
624,,,,,,,,,,,,,,
625,,,,,,,,,,,,,,22000
626,,,,,,,,,,,,,,
627,,,,,,,,,,,,,,525000
628,,,,,,,,,,,,,,270000
629,,,,,,,,,,,,,,1000000
630,,,,,,,,,,,,,,2850000
631,,,,,,,,,,,,,,500000
632,,,,,,,,,,,,,,4271354
633,,,,,,,,,,,,,,20000000
634,,,6000000,,,,,,,,,,,
635,,,,,,,,,,,,,,10000000
636,,,,,,,,,,,,,,4288000
637,,,,,,,,,,,,,,8000000
638,,,,,,,,,,,,,,8000000
639,,,,,,,,,,,,,,14000000
640,,,,,,,,,,,,,,250000000
641,1000000,,,,,,,,,,,,,
642,,,,,,,,,,,,,,
643,,,,,,,,,,,,500000,,
644,,,,,,,,,,,,,,
645,,,,,,,,,,,,,,
646,,,,,,,,,,,,,,40000000
647,,,,,,,,,,,,,,20000000
648,,,,,,,,,,,,,,
649,,,,,,,,,,,,,,892898
650,,,,,,,,,,,,,5000000,
651,1500000,,,,,,,,,,,,,
652,,,,,,,,,,,,,,
653,,,,100000,,,,,,,,,,
654,,,,,,,,,,,,,,10000000
655,,,,,,,,,,,,,,10511317
656,,,,,,,,,,,,,,
657,,,,,,,,,,,,,,
658,,,,,,,,,,,,50000,,
659,,,,,,,,,7000000,,,,,
660,,,,,,,,,,,,,,
661,,,,,,,,,,,,277755,,
662,,,,,,,,,,,,606100,,
663,,,,,,,,,,,,159412,,
664,,,,,,,,,,,,77811,,
665,,,,,,,,,,,,,,3607956
666,,,,,,,,,,,,500000,,
667,,,,,,,,,,,,,,
668,,,,,,,,,,,,,,
669,,,,,,,,,,,,,,
670,,50000,,,,,,,,,,,,
671,,,762500,,,,,,,,,,,
672,,,,,,,,,,,,,,
673,,,,95445,,,,,,,,,,
674,,,,,,,,,385980,,,,,
675,,,,,,,,,,,,,,250000
676,,,,,,,,,,,,15000,,
677,,,,,,,,,,,,,,3500000
678,440000,,,,,,,,,,,,,
679,,,,,,,,,,,,300000,,
680,,,,,,,,,,,,,,
681,,,,,,,,,,,,,,
682,,,,180000,,,,,,,,,,
683,,,,,,,,,,,,,,
684,,,,0,,,,,,,,,,
685,,,,,,,,,,,,,,
686,,,,,,,,,,,,,,
687,,,,,,,,,,,,,,2013000
688,,,,,,,,,,,,1400000,,
689,,,,,,,,,,,,,,
690,,,,,,,,,,,,,,4500000
691,,,,,,,,,,,,,,5000000
692,,,,,,,,,,,,,,
693,,,2000000,,,,,,,,,,,
694,,,,,,,,,,,,100000,,
695,,,,,,,,,,,,,,8800000
696,,,,,,,,,,,,,,13000000
697,,,,,,,,,,,,,,
698,,,,,,,,,,,,,,525000
699,,,,,,,,,,,,,,
700,,,,,,,,,,,,,,
701,,,,,,,,,,,,,,
702,,,,,,,,,,,,5000,,
703,,,,,,,,,,,,,,4500000
704,,,,,,,,,,,,,,6000000
705,,,,,,,,,,,,,,15000000
706,,,,,,,,,,,,,,6000000
707,,,,,,,,,,,,,,
708,,,,,,,,,,,,,,
709,2928257,,,,,,,,,,,,,
710,,,,,,,,,,,,,,6300000
711,,,,,,,,,,,,,,
712,,,,,,,,,,,,,,3000000
713,,,,,,,,,,,,,,10000000
714,,,,,,,,,,,,,,
715,,,,,,,,,,,,,,16000000
716,,,,,,,,,,,,,,1000000
717,,,,,,,,,,,,,158814,
718,,,,,,,,,,,,,,
719,,,,,,,,,,,,,,
720,,,,,,,,,,,,,,10000000
721,,,,,,,,,,,,,,
722,,,,,,,,,,,,,,55000000
723,,,,,,,,,,,,,,
724,,,,,,,,,,,,,,10000000
725,,,,,,,,,,,,,,100000
726,,,,,,,,,,,,,,
727,,,,,,,,,,,,,,
728,,,,,,,,,,,,,,1500000
729,,,,,,,,,,,,,,5000000
730,,,,,,,,,,,,,,
731,,,,,,,,,,,,,,
732,,,,,,,,,,,,,,50000000
733,,,,,,,,,,,,,,15000000
734,,,,,,,,,,,,,,1000000
735,,,,,,,,,,,,,,
